document_ID,tag_code
657E1690-0A34-4882-BEDC-25CEA8641BA2,genai
657E1690-0A34-4882-BEDC-25CEA8641BA2,root
5EDB2FF4-839E-4657-9AA0-B37131C0D847,genai
5EDB2FF4-839E-4657-9AA0-B37131C0D847,level1
33940932-E984-4866-B620-E63E88962668,genai
33940932-E984-4866-B620-E63E88962668,level1
77D2C5EB-D0F2-4BBC-8F52-9390B22FD641,integration
77D2C5EB-D0F2-4BBC-8F52-9390B22FD641,root
018CE69C-F1B4-4B7A-A7CD-11232CA59C47,integration
018CE69C-F1B4-4B7A-A7CD-11232CA59C47,level1
9BC10116-99A3-4372-9541-3B44AF925CB3,integration
9BC10116-99A3-4372-9541-3B44AF925CB3,level2
4EE42BB0-6C39-46F5-B529-67C7735DB043,cap
4EE42BB0-6C39-46F5-B529-67C7735DB043,root
BF0177B7-12EB-4EF8-87B8-EEBAB81CAD02,cap
BF0177B7-12EB-4EF8-87B8-EEBAB81CAD02,level1
B41A69FE-F9F2-4BE0-A2FD-F0DF8928D1FA,cap
B41A69FE-F9F2-4BE0-A2FD-F0DF8928D1FA,level2
B4FCE536-C381-4B18-897F-D058D7868E9D,cap
B4FCE536-C381-4B18-897F-D058D7868E9D,level3
